instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
10_24_19_0_18_0,RandomGenerator,0,6,1000,3.071690820480291,2.697781505425097,2.697781505425097,8.370365139180139
10_24_19_38_14_0,RandomGenerator,0,6,1000,4.575915223083753,4.50088371252086,4.50088371252086,9.49555319575189
10_25_0_0_24_37,RandomGenerator,0,6,1000,4.180197170527976,3.568809527967324,3.568809527967324,9.278344607887732
10_25_0_0_33_0,RandomGenerator,0,6,1000,3.238220032196421,2.6208112253849034,2.6208112253849034,8.543784542677079
10_25_26_21_15_0,RandomGenerator,0,6,1000,3.0677275381217983,2.982636872950689,2.982636872950689,8.190024238702652
10_28_0_0_0_0,RandomGenerator,0,6,1000,1.4291537999955726,1.0588011029698166,1.0588011029698166,6.814639692504278
10_32_11_3_0_0,RandomGenerator,0,6,1000,2.2464016877532886,2.007789786903297,2.007789786903297,7.666696123679934
10_32_14_15_0_0,RandomGenerator,0,6,1000,2.357313506922502,2.198613558731827,2.198613558731827,7.696891778928336
10_37_20_34_4_0,RandomGenerator,0,6,1000,3.890450429880087,4.208587303811741,4.208587303811741,9.44894187352115
10_38_34_0_2_0,RandomGenerator,0,6,1000,3.2416028430976778,3.231800268601948,3.231800268601948,8.44980447724263
10_3_0_0_0_0,RandomGenerator,0,6,1000,1.3237244331931524,0.910932783644336,0.910932783644336,6.7840858931253445
10_3_21_10_22_7,RandomGenerator,0,6,1000,4.458370910405177,4.486503366196465,4.486503366196465,9.708068235763532
10_4_0_0_33_28,RandomGenerator,0,6,1000,4.3297412430175735,4.208083504193831,4.208083504193831,9.720705674605838
10_4_24_0_0_0,RandomGenerator,0,6,1000,2.270891274331554,1.8510380649313003,1.8510380649313003,7.579011318699612
10_4_5_0_0_0,RandomGenerator,0,6,1000,1.6030555013593235,1.4086970785889192,1.4086970785889192,7.083309831476283
10_5_0_0_36_0,RandomGenerator,0,6,1000,2.4399519429569505,2.2321816165520945,2.2321816165520945,6.746563136799196
10_6_17_0_35_0,RandomGenerator,0,6,1000,2.749375329472652,2.729429690343155,2.729429690343155,7.062030115649444
10_8_3_19_31_0,RandomGenerator,0,6,1000,3.6775867769823374,3.650371292009911,3.650371292009911,9.113408548583573
11_0_0_0_0_0,RandomGenerator,0,6,1000,0.4510044096459801,0.3328468255118745,0.3328468255118745,5.873525746352585
11_0_0_0_28_0,RandomGenerator,0,6,1000,2.1050049655585936,1.9438844318894333,1.9438844318894333,7.57861143556645
11_0_0_0_33_15,RandomGenerator,0,6,1000,2.3096172818010308,2.303548156236853,2.303548156236853,7.703039912281048
11_13_26_0_0_0,RandomGenerator,0,6,1000,2.2817126164718133,1.530537199413582,1.530537199413582,7.656240308997669
11_14_0_0_20_0,RandomGenerator,0,6,1000,2.519369560890288,2.251704722078749,2.251704722078749,7.825673713442919
11_15_0_0_0_0,RandomGenerator,0,6,1000,0.6055068871388146,0.5666322955292162,0.5666322955292162,6.016416232188118
11_15_33_0_0_0,RandomGenerator,0,6,1000,0.8439556844243649,0.9062144916163232,0.9062144916163232,6.238581435014604
11_19_0_0_2_0,RandomGenerator,0,6,1000,2.7595976800222504,2.4181892951171267,2.4181892951171267,8.250078446053067
11_19_20_0_10_26,RandomGenerator,0,6,1000,5.408145942644254,4.874411349013969,4.874411349013969,10.543583695758759
11_20_23_0_3_4,RandomGenerator,0,6,1000,5.181368293666095,4.9449925144144,4.9449925144144,10.754776622944568
11_22_31_8_0_0,RandomGenerator,0,6,1000,2.390830524987691,2.2442931548521075,2.2442931548521075,8.090294645288237
11_2_0_0_0_0,RandomGenerator,0,6,1000,1.4966896493679696,0.9404183583054062,0.9404183583054062,6.96003851295777
11_34_0_0_0_0,RandomGenerator,0,6,1000,1.3176265550475077,0.8504429132989099,0.8504429132989099,6.787961083015033
