instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_35_3,ILP-SM-I,1200019,35,1429,2.9037172498476918,3.6243216724065666,3.0195895929941647
IN_30_8,ILP-SM-I,347649,30,1348,2.9604148346406443,3.868326179003263,3.164440977597203
IN_15_1,ILP-SM-I,253,15,576,3.3708485282731777,3.931874292390794,3.158220282324697
IN_25_5,ILP-SM-I,63891,25,1125,3.1501304356559463,3.960719551537996,3.0997195035877945
IN_35_7,ILP-SM-II,1200004,35,1559,2.897541400780723,3.761103447973396,3.0373258332134716
IN_30_4,ILP-SM-II,62736,30,1439,2.8614791872600716,3.5426225578916988,2.936983227090351
IN_20_2,ILP-SM-II,2403,20,821,3.1117228983576037,4.153517410615984,3.216537391815488
IN_10_3,ILP-SM-I,56,10,500,3.549200065046549,4.243431880741894,2.947829571279734
IN_30_2,ILP-SM-II,514201,30,1432,3.1042500040493906,3.5586785451343905,3.0164841007382814
IN_10_9,ILP-SM-I,65,10,273,4.108953487907732,3.6790310268737554,3.2682341933682566
IN_20_7,ILP-SM-I,5221,20,794,3.3136463361360677,4.527331000920621,3.2687263399073445
IN_15_3,ILP-SM-I,324,15,652,2.755462696458866,3.4040544679232276,2.7543130584794864
IN_20_4,ILP-SM-I,10600,20,820,3.105726213256518,4.480427851666723,3.0193205426378626
IN_15_8,ILP-SM-I,354,15,724,3.4870266844828923,3.794807919800838,2.985795620066842
IN_30_7,ILP-SM-I,1200039,30,1445,2.707503451530276,3.239472690349499,2.7822998071018685
IN_30_4,ILP-SM-I,1078380,30,1439,2.8614791872600716,3.5426225578916988,2.936983227090352
IN_40_9,ILP-SM-I,1200017,40,1656,2.82853572702124,3.6822904131401857,2.9648936849785263
IN_10_2,ILP-SM-I,76,10,485,3.242918353178063,5.0013133587249685,2.781356603851854
IN_35_1,ILP-SM-II,1200002,35,1424,2.923188828348697,3.8859446767196375,3.072392069438433
IN_15_9,ILP-SM-II,1014,15,649,3.5895735229639447,5.322264854550427,3.130709191007102
IN_30_2,ILP-SM-I,1200026,30,1414,3.1044722213823763,3.5079446437998154,3.075709131907496
IN_15_7,ILP-SM-II,503,15,809,3.352865847054778,4.620108728017331,3.3064614550337006
IN_15_2,ILP-SM-I,723,15,640,3.5816521661005156,4.935480535296254,3.3690503252500204
IN_30_8,ILP-SM-II,67089,30,1348,2.9604148346406443,3.868326179003263,3.1644409775972027
IN_15_7,ILP-SM-I,334,15,809,3.352865847054778,4.620108728017331,3.3064614550337015
IN_15_6,ILP-SM-II,697,15,686,3.1430833589285614,3.8113720545267484,2.849318989026567
IN_40_10,ILP-SM-II,1200002,40,1627,2.704846143969417,3.4618269138560493,2.8565374747111862
IN_35_8,ILP-SM-I,1200018,35,1399,2.869014191183638,3.878970717241377,3.0164244314473154
IN_35_5,ILP-SM-II,901175,35,1459,2.7047465719792942,3.639125702830537,2.8566389122210643
IN_20_1,ILP-SM-II,5868,20,789,3.4388536576272513,3.978270086685168,3.34043935198395
IN_20_8,ILP-SM-II,10462,20,899,3.2121098859952046,4.061894995939977,3.0189427735865926
IN_30_5,ILP-SM-II,812658,30,1365,3.144919699865536,4.203467416539746,3.1964182170545965
IN_25_6,ILP-SM-II,25145,25,1090,3.19257796529783,4.171632823705879,3.2431357650444186
