# Started at: 2021-04-24 08:58:11 +0000, Version: v0.1-129-g3cfe73e, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment8_out/Instance1/3/minutilLTF.json.yaml.csv -- demos-sched -c /root/experiment8/Instance1/minutilLTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,power/µW,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
31296.1,,,,,,,,,,,,,25.072,,,,,,,,,,,,,,,,
31992.7,37900,40300,38500,37900,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8973399.414128141,,,,,,,,12.1212,10,8.08081,0,98.9899,95
32992.9,38500,40500,39100,38100,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9132287.558049858,,,,,,,,12.8713,10,8,0,99,94
33992.4,38700,40900,39100,38500,38700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9303596.421019733,,,,,,,,0.990099,0,0,0,100,97
34993,38700,41100,39100,38500,38700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9082566.464902021,,,,,,,,12,10.101,9.90099,0.990099,98,94
35992.9,39100,41300,39500,38500,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9089420.983950414,,,,,,,,11.2245,10,8,0,99.0099,95
36993.3,39100,41300,39700,38900,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8960147.513536457,,,,,,,,12,10,8.08081,0.990099,98.9899,94
37993.3,39500,41300,39700,39100,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9014205.887597496,,,,,,,,12.8713,11,8,0,98,95
38992.7,39500,41300,40300,39100,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9064961.923794826,,,,,,,,12,10,8.08081,0,98.9899,95
39992.9,39700,42100,40300,39300,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9156361.728935901,,,,,,,,0,0,0,0,100,96
40562.2,,,,,,,,,,,,,,65.83,61.66,,,,,,,,,,,,,,
40993.1,39700,42100,40300,39500,39700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9201141.739243856,,,,,,,,17.6471,11,8.08081,1,99,94
41354.8,,,,,,,,,,,,,25.093,,,,,,,,,,,,,,,,
41993.1,39900,42500,40500,39500,40100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9102362.411569979,,,,,,,,12,10,9,0,98,94.9495
42993,39900,42100,40300,39700,39900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9000720.193563493,,,,,,,,11.1111,10,8,0,99,94.0594
43992.6,40300,42100,40700,39900,39900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9015454.243636062,,,,,,,,12.1212,10,9,0,99,95
44993.4,40700,42500,40900,40100,40500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9303663.702267423,,,,,,,,8,7.07071,8,0,98,94.898
45993.2,40700,43000,41100,40500,40700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9200354.222848382,,,,,,,,4.9505,2,0,0,100,96.0784
46992.8,40700,43000,41500,40500,40500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9152602.674217219,,,,,,,,12.1212,10,8,0.990099,99,94.898
47993.3,40700,43200,41100,40300,40500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9107396.3917529,,,,,,,,11.1111,10.101,8,0,98.9899,94
48993,41100,43200,41900,40700,41100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8898941.028368669,,,,,,,,12.1212,10,9,0,98.0198,94
49992.8,41100,43200,41700,41100,40900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9179317.288221054,,,,,,,,12.8713,10.8911,8,0,99,95
50670.4,,,,,,,,,,,,,,65.59,61.62,,,,,,,,,,,,,,
50993.4,41700,44000,41900,41100,41300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9430722.707685046,,,,,,,,2.0202,4,6.06061,0,99,94.0594
51419.6,,,,,,,,,,,,,25.147,,,,,,,,,,,,,,,,
51993.3,41500,44000,41900,41100,41300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9191054.575976988,,,,,,,,10,7,5.94059,0.990099,100,96.9388
52992.9,41500,44000,42300,41300,41500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9214610.433049817,,,,,,,,12.8713,11,7.14286,0,98,95.0495
53993.2,41900,44200,42300,41300,41900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9081426.003980737,,,,,,,,13,10,8.91089,0,99,93.9394
54992.7,41900,44000,42600,41500,41700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9105227.214729488,,,,,,,,12,10,8,0,98.9899,95
55992.6,42300,44000,42800,41700,41900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9272536.512865037,,,,,,,,12.1212,10,8.08081,1,98.0198,94
56993,42500,44800,43000,42100,42100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9398245.524279935,,,,,,,,0,0,0,0,100,96.9697
57992.7,42300,44600,43000,41900,42300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9218829.07282796,,,,,,,,11.1111,10.101,8.08081,0,98.9899,94.0594
58993.2,42500,44800,43000,42300,42300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9132232.14886556,,,,,,,,12.8713,10,9.80392,1,99.0099,95
59993.2,42600,45200,43000,42500,42500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9048960.084715964,,,,,,,,12.1212,9.09091,7.14286,0,98,94
60835.1,,,,,,,,,,,,,,65.55,61.62,,,,,,,,,,,,,,
60992.8,42600,44800,43400,42500,42600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9106474.717710346,,,,,,,,12,10,12,1.0101,98.9899,95
61481.2,,,,,,,,,,,,,25.169,,,,,,,,,,,,,,,,
61993,43000,45200,43600,42500,42600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9237600.657759514,,,,,,,,12,10.101,8.08081,0,99,94.9495
62993.2,43000,45600,43600,42600,43000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9251087.163531959,,,,,,,,0,0,0,0,100,96.0784
63993,43000,45600,43800,42800,43000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9224215.778510137,,,,,,,,12,10,8,1,98,93.9394
64992.5,43400,45600,44200,43200,43200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9210906.208966972,,,,,,,,13,10,8.08081,0,99,94.9495
65993.2,43400,46000,44200,43200,43200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9023495.329636652,,,,,,,,12,10,8.08081,0,99,94.0594
66992.4,43400,45600,44200,43400,43400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9161986.68774002,,,,,,,,12,10,8.91089,0,98,94.9495
67992.9,44200,46000,44200,43400,43400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9423432.59531005,,,,,,,,9,9,8.08081,0,98.9899,94.0594
68993.2,43800,46400,44600,43600,43800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9217557.205349762,,,,,,,,3,1,0.990099,0.990099,100,96.9388
69993.2,44000,46400,44600,43600,43800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9249535.879476199,,,,,,,,12,10.101,8.08081,1.0101,98.9899,95
70944.5,,,,,,,,,,,,,,65.71,61.66,,,,,,,,,,,,,,
