instance,obj_sm_imx8a,obj_lr_imx8a,obj_lr_ub_imx8a,power_imx8a,obj_sm_imx8b,obj_lr_imx8b,obj_lr_ub_imx8b,power_imx8b,obj_sm_tx2,obj_lr_tx2,obj_lr_ub_tx2,power_tx2
inst_0725,6.191448573884624,5.570887864851742,6.283018282860214,5.791286513351665,5.9570259476064775,5.514951827273302,6.086782620326478,5.720054965841045,2.912128435961827,2.698027441699881,3.561053349998823,2.7549642857142858
inst_0877,6.549792701098283,5.669011180153907,6.8065871175091,5.799196578016996,6.2003547729236,5.5921044778611755,6.4911612706765025,5.8032176555204495,3.200059156995692,2.8537297961010277,4.476838009744355,2.77825
inst_0711,5.790155879299831,5.61826257809774,6.337108365991466,5.802042629943161,5.767625678254348,5.5720406070408295,6.248402975136572,5.763641945039083,3.1004778666210004,2.8760734982935,4.177324891216501,2.8305
inst_0641,5.826486504591476,5.6477221620534035,5.869139812628374,5.80598843972466,5.756668288307471,5.5919042394058085,5.7911159601101145,5.746030793649172,3.144640369854103,2.9312267442411533,3.3962181351950784,2.900767857142857
inst_0053,5.811651828755072,5.633615545775777,5.965548164820454,5.807412047505994,5.752266102037617,5.5877179971053375,5.906019857964689,5.760763105549466,3.0868970642673506,2.875563731886454,3.5124626883657406,2.851839285714286
inst_0645,5.862415338526812,5.7278324639448295,5.8428671571881745,5.810676362856729,5.82618568654333,5.674455558510111,5.7830201164838435,5.803511793398273,3.3008090053984733,3.124296155754871,3.3778874714463956,3.1016428571428576
inst_0521,7.252319858970958,5.690825694665456,7.710009633974609,5.8122871807570125,6.670292402843577,5.627844024307708,7.315714292153478,5.832741351642686,3.4230165054069523,2.980901983616801,5.908748096650071,2.865517857142857
inst_0013,6.852173193572478,5.610590697048441,8.021180860419513,5.816561225819594,6.2439001271423376,5.557509823379956,7.668464207499959,5.743760524913791,3.181576456370915,2.7568591861775715,5.662656467652363,2.7568928571428573
inst_0503,5.833188041389117,5.65796847842533,5.883368801932857,5.8211961714521125,5.786564766158687,5.6078590216884585,5.819693259223555,5.788250930245947,3.179999387138074,2.975092884932641,3.478437669631476,2.9061428571428576
inst_0876,5.914894837557202,5.71974742554289,7.494939566164319,5.826300068313535,5.838823331411385,5.6413910523662105,7.225870499323692,5.823138708594229,3.1701538842276515,2.8851554112289333,5.8898905937566735,2.8065
inst_0656,7.248860104350913,5.677894481151956,7.691779707052593,5.835094794367122,6.668337854273443,5.626874425907516,7.301982667958499,5.810846813421216,3.465469017148816,3.0109409807262093,5.8197477870416705,2.9654464285714286
inst_0345,5.808359902499367,5.66165923270611,6.021452732836253,5.837858153900022,5.753969224438047,5.600603684709351,5.916265277737924,5.776581708019616,3.0757411241296153,2.839576831879529,3.3417239377075183,2.8238035714285714
inst_0304,5.862071179664057,5.737499899304331,5.997171924803957,5.841484924112381,5.8075410300266235,5.6679701318740765,5.8966601062993345,5.818115403062427,3.220469615216057,3.0426635720129633,3.507097483633121,2.976321428571429
inst_0443,5.894754096205343,5.703622716881702,5.942590501868012,5.843854199212352,5.803609605552078,5.641955179818613,5.856684703005534,5.784808359213558,3.1016350375297495,2.933147578242787,3.305821140344887,2.897964285714286
inst_0066,6.558660902473664,5.664365749107289,6.56862023090272,5.843994240722853,6.214789105572635,5.605221283124091,6.337577559985668,5.761850530257348,3.3163729403134634,2.9571025446796697,4.4113318098026415,2.892535714285714
inst_0754,5.8392775906173915,5.666335411969397,7.328837451996228,5.846260147121675,5.814050999878338,5.613253832234588,7.134947996825518,5.770977882626196,3.1391397594788084,2.858280917052266,5.093664317548558,2.8127857142857144
inst_0282,6.8830434531906635,5.568132212612748,6.295486727966478,5.847230288131791,6.388093076546767,5.509220889280814,6.060524631760958,5.760095728952128,3.072559743260135,2.6925338127323863,3.5539568322926347,2.7310714285714286
