instance,obj_sm_imx8a,obj_lr_imx8a,obj_lr_ub_imx8a,power_imx8a,obj_sm_imx8b,obj_lr_imx8b,obj_lr_ub_imx8b,power_imx8b,obj_sm_tx2,obj_lr_tx2,obj_lr_ub_tx2,power_tx2
inst_0471,7.278351602187751,7.106035313542888,8.635322251512049,7.135820689662014,7.0717427421806764,6.8073806983197205,8.164560032010609,7.035780701413078,4.631643328154845,4.639547902004274,7.208302652862724,4.934527272727273
inst_0680,7.828544130117025,6.828051819769014,8.575503962591377,7.138080833688852,7.199179731488504,6.634522297147928,8.19654833177438,6.9387376974394215,4.631423355112007,4.362808684223956,6.8072345416130915,4.528654545454546
inst_0328,7.780364910270585,6.926333795029742,7.433997364084971,7.142338273660013,7.137595515058495,6.517078826092195,6.890587220383417,6.859137252178777,4.279487914820616,4.036829594905932,4.5200914005252555,4.278709090909091
inst_0661,7.252874361785861,6.330811985654229,6.356816480055906,7.143159031585537,6.744328835596409,6.106345886288687,6.126645243596585,6.773888070541685,3.997011913983809,3.702608375942175,3.7367096659197676,4.0888
inst_0242,8.113850072350276,7.076264822701338,10.028377303393672,7.146734459647491,7.44476740857313,6.6778602316727955,9.01927110799889,6.901947332511774,4.555847653189095,4.0758972375295155,7.327234082680329,4.008381818181818
inst_0337,7.738513365012055,6.922897646343499,7.759159559644731,7.148518875401999,7.194149008708541,6.553747106800102,7.179850062144698,6.8520831906471615,4.616155215676989,4.217439075711058,5.053464437726255,4.401563636363637
inst_0513,7.827460025548279,6.778991862334675,7.825289788717708,7.153272331522913,7.186114776030469,6.552628756425723,7.452079187721943,6.919446767269008,4.181878112139282,3.886411405042537,4.967030670162027,4.034163636363636
inst_0338,7.621236491275894,6.778936653594396,7.792506385249732,7.15360770920518,7.132387670318578,6.599775927076667,7.516129187794138,6.870055883161423,4.812853104266173,4.6404654880667415,6.2983436338031495,4.909854545454546
inst_0956,7.973625254621802,6.86284938961748,8.910358008886249,7.153773613736771,7.414356127745009,6.687739607282971,8.417608257411613,6.956856763668171,4.6769621149651215,4.456621625784813,7.2883110448539306,4.609418181818182
inst_0963,7.63113913604985,6.804171378095518,9.830619781579845,7.154558092775423,7.096524559053547,6.526496848453499,9.090711127614131,6.843687571359211,4.6549088355016695,4.366029424029879,8.630375537626197,4.600527272727273
inst_0235,8.018172046510385,7.071436403282532,10.087991397680668,7.155279034335121,7.321402435596472,6.626774423851982,8.95236993435722,6.881680989506821,4.840111427414994,4.284399291263001,7.662943162292663,4.657272727272727
inst_0248,7.415572953312851,6.80359751852689,8.193108938060588,7.155837008041432,7.080375906461347,6.616199989869771,7.840782959312364,6.876020165286894,4.575411676262448,4.363832152212028,6.22494770740653,4.5698181818181824
inst_0443,7.772923815301352,6.827725079419027,7.712427683886299,7.160281713898657,7.27927940397295,6.665706359576143,7.447199854145706,6.938629878102068,4.667169115435742,4.47295227815545,5.708308850592459,4.727963636363636
inst_0757,7.369889657682481,7.093916121095667,7.847530101909155,7.162285362378483,7.034960718704775,6.854728741344976,7.548324484625196,7.006824785229125,5.267338907142535,5.031701479350926,6.23800608693737,5.4398
inst_0334,7.310798908947623,7.218608627864331,7.451227217488809,7.16260091425627,7.171532326175773,7.114714624229899,7.338621540094031,7.123125564022661,5.42097552787599,5.238767162339752,5.604715013573568,5.419818181818182
inst_0720,8.281673856353137,7.025639054165528,9.324740995375365,7.168368092998527,7.466041069827977,6.630040395487168,8.363104453600533,6.950255988874068,3.988007621363624,3.732357162415839,5.454041092972805,3.8385818181818174
inst_0604,8.227904843962111,7.062185034722159,8.237403729827092,7.170258377526368,7.574263415040875,6.847626601219388,7.833206569590029,7.0100632170373975,4.67234326305306,4.440667370202515,5.879997603152033,4.661309090909091
inst_0534,7.36709820778649,6.485643399735382,6.582204361214894,7.171460158554675,6.812876226962516,6.254997124622497,6.330987811798823,6.76520343893228,4.227194608016793,4.040703271899508,4.1657324728923335,4.346727272727273
inst_0020,7.93932383477048,7.121954387471291,11.974359465036144,7.171990681472538,7.219019129420059,6.821248859764779,10.87131991330824,6.907729271165653,4.850410159207671,4.534395686213277,9.366486384658332,4.819836363636364
inst_0108,8.197510257841916,6.944733562171794,10.177296158297835,7.1725568783559055,7.538824017415344,6.664051338112262,9.46332871841915,6.888981719846272,4.5193654804582355,4.396323545519765,8.012720400027193,4.658
inst_0402,7.566937378025005,7.063744810487453,8.287922755396027,7.178362647578118,7.3492899656537745,6.970635433654251,8.029960705667282,7.067871582024141,5.633527795065957,5.535919991644674,7.387457621047796,5.498490909090909
inst_0590,7.598028396760494,6.864259482821597,8.235974632609869,7.181010637699572,7.064758003418253,6.516736375639701,7.519533995036695,6.884850227572171,4.506238603224373,4.212526911074815,5.435856571266109,4.4410181818181815
inst_0845,7.865892400619562,7.048918448978442,8.950784853884942,7.18371427029144,7.330864530316011,6.767505160328689,8.402524779975142,7.088525959815791,4.187054406591302,4.058592510666573,5.930027865998334,4.334018181818182
inst_0024,7.422251600154297,6.6765493489933885,6.95962000924362,7.188659504957589,6.820387322762688,6.378502285274337,6.604579860842261,6.723556352520913,4.3665814542024295,4.148699762551365,4.497334097007405,4.513436363636363
inst_0651,8.117381269308137,7.17994170903393,9.19627022689961,7.192271588749952,7.629765402425584,7.01858175397294,8.818815345287883,7.146516146956914,5.511379103390825,5.339835565603275,8.055895170230277,5.636854545454546
