# Started at: 2021-04-03 21:41:39 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment7_ref_out/Instance3/3/b2pred.json.yaml.csv -- demos-sched -c /root/experiment7_ref/Instance3/b2pred.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
44995.6,37200,38100,37900,36600,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.1584,88.1188,82.1782,83,31.3725,18.8119
45994.7,37700,38100,38100,36800,37000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.1584,88.8889,82.8283,84,31.3725,18.1818
46995.4,37500,38100,38100,36800,37000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84,88.1188,82,82.8283,31.6832,18.8119
47995.1,37700,38300,38300,37200,37000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84,88.3495,82,83,31,18
48994.8,37900,38500,38300,37200,37000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84,88.8889,82,83.8384,31.3725,18.1818
49995.5,38300,38500,38500,37200,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84,88.1188,81.8182,82.8283,30.303,18
50676.2,,,,,,,,,,,,,,55.84,53.14,,,,,,,,,,,,,
50995.7,38100,38500,38700,37400,37400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.1584,89,83,83,34.3137,18.1818
51398.2,,,,,,,,,,,,,23.388,,,,,,,,,,,,,,,
51995,38100,38500,38700,37200,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.8485,89,82,83.8384,31.6832,18.8119
52995.6,38500,38900,38700,37500,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.1584,88.2353,82,83,31.6832,18
53995.2,38500,38900,38900,37500,37700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.1584,88,82,83,30.6931,19
54994.9,38500,39300,39100,37900,37700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.1584,89,81.8182,82.8283,31.6832,18
55995.5,38700,39300,39100,37900,37700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.1584,88,82.8283,83.8384,30.6931,18.8119
56995.2,38700,39300,39100,37900,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84,89,82.1782,83,31,18.1818
57994.8,38700,39300,39100,37900,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84,88.1188,82,83,31.3725,18.8119
58995.5,38900,39700,39300,38100,38100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84,89,82.1782,83.8384,30.303,17.1717
59995.1,38900,39300,39300,37900,38100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,84.1584,88.1188,82,82.8283,31.6832,18.1818
60831.7,,,,,,,,,,,,,,55.96,53.10,,,,,,,,,,,,,
