Tinf,Tinf_err,Tinf_per_ips,affinity,benchmark,flag,n_tasks,runtime
6.176,0.021,0.0153065229756,A53,complex_updates,O2,4,0.00991355115
12.169,0.026,1.1101233629194254,A72,gsm_enc,O2,2,0.18245104165000006
5.793,0.064,0.0564702143991,A53,petrinet,O2,1,0.0097480087
5.698,0.031,0.062183399639899994,A53,rad2deg,O2,1,0.010913197549999998
7.637,0.059,0.06649658092,A72,cover,O2,1,0.008707160000000002
5.15,0.23,0.05659441630750001,A53,bitonic,O2,1,0.010989207050000002
10.7,0.12,0.046583306000000005,A72,cover,O2,2,0.008707160000000002
6.768,0.022,0.018555677296199998,A53,deg2rad,O2,4,0.01096671235
7.059,0.026,0.09567470154303749,A53,fft,O2,4,0.05421430885
8.607,0.055,0.07583455861244998,A72,fir2dim,O2,1,0.008810800349999998
6.747,0.03,0.0175224848443125,A53,countnegative,O2,4,0.01038831175
11.057,0.029,0.04972635917085001,A72,jfdctint,O2,2,0.008994548100000001
5.499,0.018,0.06706674927809998,A53,cosf,O2,1,0.012196171899999999
9.16,0.31,0.09047439859,A72,huff_enc,O2,1,0.00987711775
7.251,0.029,6.341045959060389,A53,dijkstra,O2,4,3.4980256290500003
8.605,0.027,0.07653772451075001,A72,recursion,O2,1,0.008894564150000001
10.44,0.34,0.27547747894799995,A72,fft,O2,1,0.0263867317
7.5,0.41,24.906583362000003,A53,test3,O2,4,13.2835111264
10.197,0.021,0.0555720745635,A72,h264_dec,O2,2,0.010899691000000001
12.546,0.031,0.0671517580329,A72,filterbank,O2,2,0.0107048873
10.916,0.035,0.06947877819329999,A72,ndes,O2,2,0.01272971385
7.28,0.21,0.018398798235999998,A53,ludcmp,O2,4,0.0101092298
8.91,0.33,2.0801050175688744,A53,md5,O2,4,0.9338294130499998
8.734,0.036,53.39904904160089,A72,ammunition,O2,1,6.113928216349999
6.758,0.025,0.016627486850824998,A53,insertsort,O2,4,0.00984166135
11.981,0.058,0.051851652155400024,A72,iir,O2,2,0.008655646800000003
4.6,0.29,1.19041917144,A53,cjpeg_transupp,O2,1,0.25878677640000003
5.942,0.018,0.0600690434716,A53,ludcmp,O2,1,0.0101092298
6.185,0.022,21.63528851567425,A53,dijkstra,O2,1,3.4980256290500003
9.0,14.0,0.041011289325,A72,fac,O2,2,0.009113619849999999
6.72,0.024,0.086519675424,A53,fmref,O2,4,0.051499806800000006
5.945,0.031,1.7606750892190004,A53,gsm_enc,O2,1,0.29616065420000004
11.79,0.11,0.06935329940174999,A72,st,O2,2,0.01176476665
5.377,0.022,0.05330516453355,A53,complex_updates,O2,1,0.00991355115
11.18,0.13,0.04843157357349999,A72,binarysearch,O2,2,0.008663966649999999
8.957,0.051,4.014277879028951,A72,pm,O2,1,0.4481721423500001
5.985,0.019,5.343046502409,A53,pm,O2,1,0.8927395993999999
6.629,0.041,0.016692397728649992,A53,huff_dec,O2,4,0.010072347399999996
9.74,0.37,0.10426560230200001,A72,filterbank,O2,1,0.0107048873
9.63,0.36,0.1027203754095,A72,cosf,O2,1,0.01066670565
7.337,0.023,0.06709352629815,A72,rad2deg,O2,1,0.009144544950000002
8.749,0.036,94.9278554818399,A72,mpeg2,O2,1,10.8501377851
7.68,0.37,0.19519991836799996,A53,sha,O2,4,0.10166662414999998
12.76,0.21,0.057182007498,A72,adpcm_enc,O2,2,0.0089626971
8.522,0.025,5.8172609559136,A72,md5,O2,1,0.6826168687999999
5.802,0.035,0.2988018790536,A53,fmref,O2,1,0.051499806800000006
12.277,0.051,0.16197495254045,A72,fft,O2,2,0.0263867317
9.06,0.037,0.07887899917800001,A72,duff,O2,1,0.0087062913
9.112,0.091,0.5001915169564001,A72,sha,O2,1,0.054893713450000006
6.036,0.03,0.06177374980739999,A53,adpcm_dec,O2,1,0.01023421965
10.783,0.022,3.6803288481351997,A72,md5,O2,2,0.6826168687999999
9.894,0.025,0.04315366223744999,A72,insertsort,O2,2,0.00872319835
7.06,0.12,0.017942205810499996,A53,minver,O2,4,0.010165555699999999
11.874,0.068,57.80346184417501,A72,test3,O2,2,9.736139775000002
5.869,0.018,0.059114606890599976,A53,huff_dec,O2,1,0.010072347399999996
8.392,0.1,0.07270800812679998,A72,binarysearch,O2,1,0.008663966649999999
8.65,0.048,0.25235639706750007,A72,fmref,O2,1,0.029174149950000002
7.065,0.024,0.04741569446175002,A53,lms,O2,4,0.02684540380000001
8.432,0.044,0.1073369471832,A72,ndes,O2,1,0.01272971385
8.37,0.35,0.028868146321499994,A53,filterbank,O2,4,0.0137960078
8.983,0.026,0.0785557627829,A72,ludcmp,O2,1,0.008744936299999999
9.255,0.097,0.10565175143925,A72,rijndael_dec,O2,1,0.011415640349999999
6.065,0.018,0.08155684496625001,A53,h264_dec,O2,1,0.01344713025
7.132,0.02,0.33357503604449995,A53,gsm_dec,O2,4,0.18708639149999998
12.71,0.04,0.34884954897475007,A72,sha,O2,2,0.054893713450000006
7.384,0.02,0.0258288030819,A53,rijndael_dec,O2,4,0.013991767649999999
