# Started at: 2021-04-23 20:52:13 +0000, Version: v0.1-129-g3cfe73e, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment8_out/Instance2/1/RALTF1.json.yaml.csv -- demos-sched -c /root/experiment8/Instance2/RALTF1.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,power/µW,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
54992.4,41500,43400,42300,41300,41300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8971056.531948041,,,,,,,,42.4242,34.6535,23.7624,19,72,69.3069
55992,41500,44000,42300,41300,41300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8695033.803174127,,,,,,,,61,53.5354,41.8367,38.3838,65.6566,57
56992.5,42100,42800,42500,41500,41500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9005734.179930864,,,,,,,,57.5758,53,42.5743,38.6139,70.297,63
57992.3,42100,43200,42600,41500,41500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9030209.436150527,,,,,,,,31,27,27,26.2626,82.6531,72.7273
58992.7,42100,44200,42800,41900,41900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8997021.208181128,,,,,,,,36,27,15.1515,12,79.2079,73.2673
59991.9,42100,44600,43000,41900,41900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8820185.687480565,,,,,,,,60.396,53.5354,42,38.3838,65.6566,61
60858,,,,,,,,,,,,,,67.40,63.56,,,,,,,,,,,,,,
60992.8,42300,43400,43000,41900,41500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8703761.863253374,,,,,,,,62.3762,53.9216,46.5347,40.1961,65.3465,58
61529.9,,,,,,,,,,,,,26.327,,,,,,,,,,,,,,,,
61993.3,42600,43200,43000,41700,41900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8847281.698555995,,,,,,,,34,31,30.6931,30.6931,80,71.2871
62992.6,42600,44400,43200,42300,41900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8983666.08635176,,,,,,,,29.5918,25.2525,14.1414,9.18367,84,74.4898
63992.3,42500,45200,43200,42300,42500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8923225.72839861,,,,,,,,59,51,39.3939,36,67.6768,66.3366
64992.3,42300,44800,43400,42300,42300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8356706.75412361,,,,,,,,62.3762,53.5354,42.5743,39,66,58
65992.3,43000,44400,43400,42300,42300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8484991.176041815,,,,,,,,40.404,37.6238,38.6139,37,80,70.7071
66992.6,43400,44800,43400,42500,42600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8623544.349030867,,,,,,,,30.303,25.2525,14.1414,11,83,74.2574
67992.6,43000,45200,43600,42500,42800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9042963.798143018,,,,,,,,53,44,33,29.703,68,65.6566
68992.6,42800,45400,43800,42600,42600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8480935.804777035,,,,,,,,61.3861,53.5354,42,39,66,57.4257
69992.9,43400,45600,43800,42600,42600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8705380.601669421,,,,,,,,48,45.5446,42,38,80.198,72.2772
70992.9,43600,45600,44200,43000,43000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8959767.43704316,,,,,,,,30.303,24.2424,17.8218,16.1616,82.8283,73.4694
71005,,,,,,,,,,,,,,67.57,63.56,,,,,,,,,,,,,,
71589.9,,,,,,,,,,,,,26.359,,,,,,,,,,,,,,,,
71992.3,43200,45200,44400,43000,43000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9126282.716209171,,,,,,,,45.4545,37,26,22,69.3069,66
72992.3,43400,46000,44200,43200,43400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8725338.830252811,,,,,,,,60.7843,54.4554,42.5743,39.604,65.6566,58.8235
73992.6,43800,45800,44400,43200,43200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8961845.913451537,,,,,,,,54.5455,51.5152,42.4242,38,73,65
74992.8,44000,45200,45000,43600,43400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9181972.474214304,,,,,,,,31.6832,25.7426,23,23.2323,82.1782,73
75992.9,43800,46200,44800,43600,43800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9056530.612058679,,,,,,,,38.3838,30.6931,19,15,75.7576,72.7273
76992.9,43800,46400,45000,43800,43800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8868916.364073554,,,,,,,,61,53.5354,42.4242,39,66,59
77992.8,44200,45200,45000,43800,43800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8829324.327502871,,,,,,,,62,54,42,39,66.3366,58.4158
78992.3,44400,45200,45000,43600,43800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9012840.975211846,,,,,,,,30.303,30,30,30,82.6531,73
79992.3,44200,46400,45400,43800,43600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9082670.373748481,,,,,,,,31.6832,23,12,9.90099,81,72.7273
80992.3,44600,47000,45200,43800,44000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8901891.850395743,,,,,,,,62,54.4554,43,38.6139,67.3267,65.3465
81112.3,,,,,,,,,,,,,,67.53,63.60,,,,,,,,,,,,,,
81650.5,,,,,,,,,,,,,26.359,,,,,,,,,,,,,,,,
