instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
inst_0412,RandomGenerator,0,2,1000,1.98429,2.07828,1.00289506,6.1771829837024965
inst_0306,RandomGenerator,0,5,1000,3.22796,4.38537,2.33155819,6.688607142857758
inst_0287,RandomGenerator,0,5,1000,3.2720700000000003,3.11778,1.48929991,6.3486313964918635
inst_0528,RandomGenerator,0,4,1000,1.83452,3.1405000000000003,0.50239904,5.625452442914698
inst_0295,RandomGenerator,0,4,1000,4.65242,4.72096,1.92904112,6.679345351296366
inst_0603,RandomGenerator,0,3,1000,3.05521,3.45933,2.1829884,6.561495969526168
inst_0472,RandomGenerator,0,2,1000,0.6598999999999999,0.71515,0.4968619599999999,5.5292681106287995
inst_0371,RandomGenerator,0,4,1000,1.47694,1.59704,0.88919276,6.116545770787843
inst_0482,RandomGenerator,0,4,1000,1.8263,1.93768,0.8237040600000001,5.899006320362568
inst_0976,RandomGenerator,0,5,1000,2.97873,4.39027,1.5274670299999995,6.032079136774572
inst_0487,RandomGenerator,0,5,1000,4.496359999999999,5.9538,2.7690184800000006,6.6850419889215775
inst_0214,RandomGenerator,0,2,1000,3.19413,3.06564,1.0673281200000002,5.965412535972467
inst_0344,RandomGenerator,0,1,1000,0.47784,0.5032500000000001,0.225456,5.450549262163049
inst_0541,RandomGenerator,0,2,1000,2.51884,2.03838,0.94434986,5.7931014778460215
inst_0337,RandomGenerator,0,2,1000,2.75141,2.00552,1.2768687800000005,6.20951085704746
inst_0696,RandomGenerator,0,3,1000,1.26964,1.7723,0.52404097,5.811337170060544
inst_0645,RandomGenerator,0,3,1000,4.06296,3.756310000000001,2.67838134,6.494188079266676
inst_0325,RandomGenerator,0,3,1000,6.00853,4.61319,3.36790518,6.895078846665212
inst_0580,RandomGenerator,0,3,1000,2.41032,2.87529,0.93055974,5.9274941972569515
inst_0278,RandomGenerator,0,2,1000,2.5578000000000003,2.6079300000000005,0.31173844,5.532771589420982
inst_0543,RandomGenerator,0,1,1000,1.13479,0.95388,0.4263843599999999,5.653630548339512
inst_0414,RandomGenerator,0,3,1000,2.03168,2.16711,0.86112097,6.132297337403899
inst_0796,RandomGenerator,0,2,1000,2.83418,2.6762000000000006,0.47526186,5.564347489120938
inst_0950,RandomGenerator,0,4,1000,3.18758,4.105359999999999,1.08081551,5.727060099151148
inst_0693,RandomGenerator,0,3,1000,2.82223,2.64469,1.33002321,5.751271464897533
inst_0406,RandomGenerator,0,1,1000,0.43522,0.34915,0.26221165,5.492139245844936
inst_0819,RandomGenerator,0,4,1000,2.64564,2.93824,1.9900572700000003,6.640617911049461
inst_0722,RandomGenerator,0,3,1000,2.29828,2.41883,1.71091993,5.9024598255147325
inst_0695,RandomGenerator,0,1,1000,0.3339499999999999,0.35621,0.13001665,5.4305991143901515
inst_0861,RandomGenerator,0,2,1000,2.551,1.62415,1.331341,5.689158253006971
inst_0879,RandomGenerator,0,1,1000,0.3022999999999999,0.23421,0.20657322,5.472547794791343
inst_0698,RandomGenerator,0,1,1000,3.45708,2.86374,0.19473432,5.459652512010661
inst_0277,RandomGenerator,0,4,1000,4.07856,4.29966,1.78299333,6.053227430840984
inst_0790,RandomGenerator,0,5,1000,2.8425700000000003,4.4404200000000005,1.69343078,6.58391829067056
inst_0126,RandomGenerator,0,3,1000,3.0694,3.25461,1.09893316,5.884878144947561
inst_0495,RandomGenerator,0,1,1000,0.3833999999999999,0.48094,0.0673316,5.366080312457277
inst_0400,RandomGenerator,0,4,1000,2.50431,2.7652,1.13102202,5.656706473118936
inst_0255,RandomGenerator,0,3,1000,1.99442,1.7246700000000004,0.79206361,6.15700393975976
inst_0413,RandomGenerator,0,1,1000,1.9275,1.39096,0.52161,5.451094790406411
inst_0761,RandomGenerator,0,4,1000,4.14881,4.6107700000000005,2.57196843,6.660152441442813
inst_0321,RandomGenerator,0,2,1000,2.31295,1.77176,0.97000995,5.650315983835061
inst_0617,RandomGenerator,0,2,1000,2.58484,2.21388,0.3593632799999999,5.5588271677636625
inst_0945,RandomGenerator,0,4,1000,2.21391,2.5613200000000003,1.4908387000000003,6.337631039198437
inst_0313,RandomGenerator,0,2,1000,1.64825,1.53245,0.432833,5.969622079526552
inst_0644,RandomGenerator,0,5,1000,3.93843,5.147200000000001,2.14903607,6.621686148025898
inst_0623,RandomGenerator,0,3,1000,2.75481,4.49963,0.59755846,5.72933332952556
inst_0900,RandomGenerator,0,5,1000,1.95878,3.91176,0.8779740500000001,6.000279285411992
inst_0379,RandomGenerator,0,2,1000,0.68972,0.8203,0.59736127,5.581576575008746
inst_0479,RandomGenerator,0,3,1000,3.40065,2.88328,1.22576202,5.914341215812322
inst_0232,RandomGenerator,0,3,1000,3.24623,2.86454,0.89467521,5.805078314037946
inst_0756,RandomGenerator,0,3,1000,3.39999,2.84418,1.55156326,6.238372938111447
inst_0553,RandomGenerator,0,4,1000,5.21583,4.94303,3.271774330000001,6.519170048491053
inst_0388,RandomGenerator,0,4,1000,2.50753,3.5679,1.65857464,6.473688245627106
inst_0382,RandomGenerator,0,1,1000,2.3766700000000003,1.67944,0.6936087200000001,5.597456828078517
inst_0627,RandomGenerator,0,4,1000,4.59241,5.62905,3.0538678900000003,6.59176883362587
inst_0048,RandomGenerator,0,4,1000,3.70693,3.90496,2.80155886,6.498169288330387
inst_0570,RandomGenerator,0,2,1000,4.5695,2.99847,2.70868296,6.470693698306066
inst_0966,RandomGenerator,0,3,1000,2.97726,2.1929,1.65972267,6.49957500910585
inst_0297,RandomGenerator,0,2,1000,1.88672,1.98452,0.7916703,5.702375471920029
inst_0219,RandomGenerator,0,4,1000,1.74937,2.2299,1.37252945,6.516419262258945
inst_0878,RandomGenerator,0,4,1000,4.17655,4.27356,2.80481436,6.605399934357105
inst_0672,RandomGenerator,0,4,1000,4.5183800000000005,4.95527,2.5645821800000004,6.370221110952555
inst_0823,RandomGenerator,0,4,1000,2.51939,3.53101,1.32921723,6.295487937351094
inst_0686,RandomGenerator,0,3,1000,3.72202,3.22037,2.04746407,6.602308165247773
inst_0302,RandomGenerator,0,3,1000,3.42355,2.98096,2.171491,6.283444280038806
inst_0971,RandomGenerator,0,4,1000,2.16692,2.14941,1.30862585,6.520684401128069
inst_0102,RandomGenerator,0,3,1000,3.1045,2.70552,1.96698907,6.552029922503536
inst_0398,RandomGenerator,0,2,1000,2.18392,1.53457,0.92911024,6.330464745512066
inst_0613,RandomGenerator,0,1,1000,0.51578,0.5185000000000001,0.2680645,5.514067394158006
inst_0327,RandomGenerator,0,1,1000,1.06862,0.94842,0.3471217199999999,5.7093735104062535
inst_0633,RandomGenerator,0,6,1000,2.12108,4.86894,1.04537843,5.963212155994661
inst_0573,RandomGenerator,0,3,1000,2.78544,3.1255,1.65695726,6.479737116257642
inst_0284,RandomGenerator,0,2,1000,2.87279,1.87856,0.5513026400000001,5.917064878108147
inst_0975,RandomGenerator,0,3,1000,2.08025,2.03355,1.5957843,6.230185185183978
inst_0872,RandomGenerator,0,3,1000,1.56644,1.4830200000000002,1.07685743,5.946727028701874
inst_0834,RandomGenerator,0,3,1000,2.59157,2.07554,1.1918893700000002,5.673116003055008
inst_0354,RandomGenerator,0,2,1000,1.80695,1.51533,0.6139937200000001,5.741937972369301
inst_0871,RandomGenerator,0,3,1000,6.121809999999999,4.1667700000000005,3.769877020000001,7.0310041776327
inst_0496,RandomGenerator,0,4,1000,2.46839,3.51699,0.86062237,5.685567008468947
inst_0785,RandomGenerator,0,3,1000,3.02682,2.80982,2.2361044800000003,6.75436988313266
inst_0377,RandomGenerator,0,5,1000,3.21517,3.41008,1.5188164700000002,6.310533460521935
inst_0056,RandomGenerator,0,2,1000,2.50088,2.4474,0.3777926,5.838909172523656
inst_0185,RandomGenerator,0,4,1000,2.8593800000000003,3.7099,1.5962603,6.352045842758994
inst_0563,RandomGenerator,0,3,1000,2.18535,2.27618,1.05246235,6.514628199556334
inst_0860,RandomGenerator,0,4,1000,2.80295,2.65201,2.1169641299999995,6.6063036366334975
inst_0609,RandomGenerator,0,3,1000,2.03836,2.34354,0.93017824,5.876137188139445
inst_0952,RandomGenerator,0,2,1000,2.90888,2.4416100000000003,1.7745529200000003,6.6209676296087
inst_0874,RandomGenerator,0,4,1000,3.6045,4.111180000000001,2.08765167,6.930750708404439
inst_0012,RandomGenerator,0,2,1000,2.89402,2.5389,0.9128097,5.881510502696312
inst_0258,RandomGenerator,0,3,1000,5.78572,4.86585,3.13867213,6.5670061893338545
inst_0330,RandomGenerator,0,2,1000,1.38099,0.90211,0.31220321,5.788047767785608
inst_0188,RandomGenerator,0,3,1000,2.79208,3.03578,0.33623197,5.720045436514256
