instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset
inst_0075,RandomGenerator,0,1,1000,0.3405906631863552,0.3528671571881744,0.192312600667555,5.850463868800175,0.3604638688001751
inst_0076,RandomGenerator,0,3,1000,1.094159302201111,1.650864763191452,1.0221837037872257,6.5493640052263355,1.0593640052263353
inst_0077,RandomGenerator,0,3,1000,1.8938837194537537,3.395303814243088,0.7634164238958066,6.61786528910874,1.1278652891087395
inst_0078,RandomGenerator,0,2,1000,2.7975816461732275,2.0880288653278494,1.7882212088212706,7.923556500452556,2.433556500452556
inst_0079,RandomGenerator,0,1,1000,1.213258053328356,0.7367486312179456,0.1281942618319225,5.914384758959363,0.4243847589593628
inst_0080,RandomGenerator,0,3,1000,0.9462650612566232,2.9566669943261905,0.3215974605232796,5.96430499995229,0.4743049999522899
inst_0081,RandomGenerator,0,3,1000,2.1353015935467554,2.584851496268709,1.1535630423947532,6.805014123614922,1.3150141236149215
inst_0082,RandomGenerator,0,5,1000,3.2138348830150942,6.40320228853578,2.65215483030758,8.280407642124992,2.7904076421249915
inst_0083,RandomGenerator,0,4,1000,3.000153833382164,3.5439198600648654,2.358237485478193,8.02719335120601,2.5371933512060103
inst_0084,RandomGenerator,0,3,1000,2.913137956408843,4.281930722704987,1.8418408621940676,7.466148381461861,1.9761483814618606
inst_0085,RandomGenerator,0,2,1000,0.4931791380794249,0.7081960308851536,0.4064446622082162,5.978608796287415,0.4886087962874148
inst_0086,RandomGenerator,0,2,1000,2.423864020636492,2.470481674058929,1.642762694477942,7.857771025564896,2.3677710255648954
inst_0087,RandomGenerator,0,5,1000,2.3209144650877414,5.445785438633181,1.2445686717021125,6.8747221696079635,1.3847221696079632
inst_0088,RandomGenerator,0,2,1000,1.8519941901357733,1.288098928648194,0.9509705923004084,7.197683319442544,1.7076833194425438
inst_0089,RandomGenerator,0,5,1000,2.863199989603028,4.70750045403399,2.446317650975653,7.67410741576145,2.18410741576145
inst_0090,RandomGenerator,0,3,1000,2.8137500689979307,4.111824743769451,1.3691222360796764,6.965577866072108,1.4755778660721077
inst_0091,RandomGenerator,0,2,1000,1.6024603727336024,1.6168797688377814,0.5316921162127333,6.5635661089638555,1.0735661089638553
inst_0092,RandomGenerator,0,4,1000,2.455202582172863,3.212117232573217,1.3331015214955269,6.92711427912528,1.4371142791252796
