benchmark,affinity,intercept,slope,exec_time,command,runtime
idctrn-4M,Denver,0.4898918918918924,2.2088547297297296,3.465346673255814,./idctrn-4M -v0 -c1 -i100,1.0
iirflt-4K,A57,0.3278986486486488,0.7663175675675676,0.004204226601192565,./iirflt-4K -v0 -c1 -i100,1.4814632132689007
iirflt-4K,Denver,0.41735135135135204,1.3804966216216217,0.002837887949924717,./iirflt-4K -v0 -c1 -i100,1.0
iirflt-4M,A57,0.5851216216216217,0.8040743243243244,4.4358710582089556,./iirflt-4M -v0 -c1 -i100,1.5663890524471078
iirflt-4M,Denver,0.5391081081081084,1.5940912162162162,2.8319088742857144,./iirflt-4M -v0 -c1 -i100,1.0
matrix-4K,A57,0.33256081081081046,0.920793918918919,0.007960024030266827,./matrix-4K -v0 -c1 -i100,0.7797903436552065
matrix-4K,Denver,0.37502027027027074,1.7850506756756754,0.010207902797250392,./matrix-4K -v0 -c1 -i100,1.0
matrix-4M,A57,0.4328693693693699,0.9407590090090087,2.3242468515624997,./matrix-4M -v0 -c1 -i100,0.8099789566848923
matrix-4M,Denver,0.38296959459459545,1.8287533783783783,2.8695151057692305,./matrix-4M -v0 -c1 -i100,1.0
membench-1K-RO-R,A57,0.2462764467857692,0.3445947396549089,0.06698451293276747,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 1000,1.3420782283412065
membench-1K-RO-R,Denver,0.37234459459459446,0.5994222972972976,0.049911034631386256,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 1000,1.0
membench-1K-RO-S,A57,0.233695945945946,0.3378614864864864,0.06696773104064314,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 1000,1.3421138246428697
membench-1K-RO-S,Denver,0.380388513513513,0.5848141891891894,0.04989720678755615,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 1000,1.0
membench-1K-RW-R,A57,0.2934977477477476,0.6157792792792794,0.06695203701719134,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 1000,1.3389098348367996
membench-1K-RW-R,Denver,0.4171513284470909,1.3402452817224004,0.050004888510922135,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 1000,1.0
membench-1K-RW-S,A57,0.3066585890975717,0.6266285730645902,0.06696109749888345,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 1000,1.3386465967234098
membench-1K-RW-S,Denver,0.3924121621621617,1.3578243243243246,0.05002149011007339,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 1000,1.0
membench-1M-RO-R,A57,0.32372747747747743,0.4055427927927928,0.47940575641025646,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 1000000,1.170376705804174
membench-1M-RO-R,Denver,0.9729932432432435,0.2752229729729727,0.4096166251709986,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 1000000,1.0
membench-1M-RO-S,A57,0.40319144144144126,0.5579065315315316,0.16188942031334413,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 1000000,0.8130011807950762
membench-1M-RO-S,Denver,-0.2659932432432437,1.87335472972973,0.19912568903654487,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 1000000,1.0
membench-1M-RW-R,A57,0.28540990990990966,0.5357117117117117,0.5303836595744681,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 1000000,1.3591596128073424
membench-1M-RW-R,Denver,1.0122297297297318,0.599618243243242,0.39022911994784876,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 1000000,1.0
membench-1M-RW-S,A57,0.2815259009009008,0.8781632882882883,0.18963247405063294,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 1000000,0.8870549574489359
membench-1M-RW-S,Denver,-0.7494290540540534,2.855277027027027,0.2137775934379458,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 1000000,1.0
membench-4M-RO-R,A57,0.4751790540540535,0.36830405405405414,4.3449325,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 4000000,0.7876944420509934
membench-4M-RO-R,Denver,0.39086148648648633,0.5425878378378379,5.516012641509434,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 4000000,1.0
membench-4M-RO-S,A57,0.6854279279279272,0.48283558558558576,0.670084134529148,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 4000000,2.84576686323614
