benchmark,affinity,intercept,slope,exec_time,command,runtime
membench-1K-RW-S,A53,0.22937430707586692,0.19245422247721913,0.22433344119850185,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 1000,1.7758491881513931
membench-1K-RW-S,A72,0.20835408542171585,0.8068135070992133,0.12632460160202363,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 1000,1.0
membench-1M-RO-R,A53,0.370614442192446,0.5720731046089496,0.4732568971518987,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 1000000,0.771324813538498
membench-1M-RO-R,A72,1.4835507913611785,0.6714747303011528,0.6135636878850103,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 1000000,1.0
membench-1M-RO-S,A53,0.548891603708654,0.7694183493303006,0.23646569771112866,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 1000000,0.7851233106594724
membench-1M-RO-S,A72,1.2202345759831648,1.244531363451368,0.3011828772635815,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 1000000,1.0
membench-1M-RW-R,A53,0.48393505075246157,0.629845657117221,0.7050833349056603,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 1000000,0.8987268235024717
membench-1M-RW-R,A72,1.5781717454317103,0.8074583342028259,0.7845357637795276,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 1000000,1.0
membench-1M-RW-S,A53,0.39665958526223566,0.8994551790858697,0.2645316616607774,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 1000000,0.7773346458601403
membench-1M-RW-S,A72,1.8622928474573772,1.0107583060971503,0.34030602272727273,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 1000000,1.0
membench-4M-RO-R,A53,1.8063055698255548,0.24049012078210139,6.5756675,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 4000000,1.2838332841579732
membench-4M-RO-R,A72,1.8001058247985338,0.5126996133532016,5.121901403508772,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -s 4000000,1.0
membench-4M-RO-S,A53,1.811811973946786,0.44601932194954613,1.416741761904762,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 4000000,3.4354186062070693
membench-4M-RO-S,A72,3.1755975883402723,0.26297961225088073,0.4123927603305785,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 4000000,1.0
membench-4M-RW-R,A53,1.7800916401467681,0.3100059882180295,6.895219047619048,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 4000000,1.3067756473310481
membench-4M-RW-R,A72,1.900764028157484,0.5541057890003449,5.276513272727272,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 4000000,1.0
membench-4M-RW-S,A53,2.021926050715673,0.48099233949657244,1.5993233870967742,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 4000000,2.400398402078492
membench-4M-RW-S,A72,3.1745930327581267,0.3468575095340505,0.6662741425389755,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 4000000,1.0
pntrch-4K,A53,0.22670256425152502,0.26390370274026714,0.35791901674641147,./pntrch-4K -v0 -c1 -i100,2.769855471506088
pntrch-4K,A72,0.38531340943519865,1.2498996985359554,0.12921938362068966,./pntrch-4K -v0 -c1 -i100,1.0
pntrch-4M,A53,0.43954948987586295,0.4137540761596208,3.7025677874999996,./pntrch-4M -v0 -c1 -i1,2.931481622620875
pntrch-4M,A72,0.740877751927389,1.5876272330254544,1.263036329113924,./pntrch-4M -v0 -c1 -i1,1.0
puwmod-4K,A53,0.2543404557478919,0.3186729670708705,0.00534474564472369,./puwmod-4K -v0 -c1 -i100,1.9198317916863366
puwmod-4K,A72,0.23780799626070426,1.1902371682446802,0.0027839655890003713,./puwmod-4K -v0 -c1 -i100,1.0
puwmod-4M,A53,1.3576739744676312,0.36463380126837325,5.254353140350878,./puwmod-4M -v0 -c1 -i100,1.9659024059212475
puwmod-4M,A72,1.5298611285612296,1.3890882841381504,2.672743633928572,./puwmod-4M -v0 -c1 -i100,1.0
rspeed-4K,A53,0.1871136569598919,0.379011317016731,0.001869214645945154,./rspeed-4K -v0 -c1 -i100,2.5539013448916954
rspeed-4K,A72,0.14695854418755516,1.6483098890417338,0.0007319055803325961,./rspeed-4K -v0 -c1 -i100,1.0
rspeed-4M,A53,1.5201358310627775,0.48788875007077515,1.7834895928143712,./rspeed-4M -v0 -c1 -i100,3.0097058020787077
rspeed-4M,A72,1.7580574625694894,2.207915565695288,0.5925793782178218,./rspeed-4M -v0 -c1 -i100,1.0
tblook-4K,A53,0.2091083493165904,0.2480810187585183,0.005199664104254877,./tblook-4K -v0 -c1 -i100,3.098970666066116
tblook-4K,A72,0.2878774520654144,1.4983469480133706,0.0016778681260818178,./tblook-4K -v0 -c1 -i100,1.0
tblook-4M,A53,1.330340057896417,0.26379377761051526,5.104697862068966,./tblook-4M -v0 -c1 -i100,3.2498501160398807
tblook-4M,A72,1.3523695804929048,1.678870028611744,1.570748705263158,./tblook-4M -v0 -c1 -i100,1.0
tinyrenderer-boggie,A53,1.3675635362510565,0.29239764489446163,0.3076080020703934,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj,1.9463879169955487
tinyrenderer-boggie,A72,1.4682059809275199,1.0853963898218346,0.15804043961864406,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj,1.0
tinyrenderer-diablo,A53,1.3260525809749248,0.27605856215325303,0.35082097300469484,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj,2.0063490396576533
tinyrenderer-diablo,A72,1.3381732450780177,1.1353433539191018,0.17485540455341508,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj,1.0
ttsprk-4K,A53,0.18961143464620012,0.3986020676568633,0.0014766030917169968,./ttsprk-4K -v0 -c1 -i100,2.0399094520167083
ttsprk-4K,A72,0.20484684481571946,1.2940971186259231,0.0007238571742766268,./ttsprk-4K -v0 -c1 -i100,1.0
ttsprk-4M,A53,-0.1577432751951866,0.7086412536721273,0.5453784408014573,./ttsprk-4M -v0 -c1 -i100,2.129653795500067
ttsprk-4M,A72,-0.33730938275038547,2.0595138852612394,0.25608784017094016,./ttsprk-4M -v0 -c1 -i100,1.0
