inst,littleSlope,littleIntercept,bigSlope,bigIntercept,powerOffset
34_0_0_0_0_0,0.8991126126126124,0.2272522522522528,0.0,0.0,0.9787465909090911
34_0_0_0_11_33,0.8991126126126124,0.2272522522522528,2.856513513513514,0.3910709459459465,2.4962636363636364
34_0_0_0_21_3,0.8991126126126124,0.2272522522522528,2.4101452702702684,0.9847027027027062,2.2591386363636365
34_0_0_0_24_30,0.8991126126126124,0.2272522522522528,3.6475371621621626,1.016060810810811,2.4900022727272733
34_0_0_0_9_0,0.8991126126126124,0.2272522522522528,2.109983108108107,0.1584898648648667,1.7549454545454548
34_12_21_0_0_0,2.2388986486486484,0.6897837837837847,0.0,0.0,3.9261670454545454
34_19_16_37_24_2,2.313856981981982,0.5643389639639647,3.710570945945946,0.9877297297297298,4.765042045454545
34_19_36_33_0_0,2.684543918918919,0.7946891891891898,0.0,0.0,3.761314772727273
34_1_24_0_0_0,1.9619527027027026,0.7973648648648648,0.0,0.0,4.479865909090909
34_22_2_0_27_5,2.4734774774774775,0.6107590090090101,3.0774493243243244,0.2541993243243245,6.1838685714285715
34_27_9_16_26_36,2.85529054054054,0.6106418918918937,2.929293918918919,1.7405439189189194,7.454280681818182
34_33_0_0_0_0,1.69878490990991,0.4233063063063066,0.0,0.0,2.7409
34_33_15_29_13_0,2.734942712627882,0.5823169873263108,1.7850506756756754,0.171020270270271,5.0360249999999995
34_34_0_0_0_0,1.7982252252252249,0.4545045045045056,0.0,0.0,2.789945454545455
34_5_14_6_34_0,2.7926182432432425,0.8214662162162185,1.606858108108108,0.2658817567567575,6.0242920454545485
34_9_22_5_11_36,3.097795045045044,0.535377252252254,2.288408783783784,0.5305878378378388,7.05380340909091
35_0_0_0_0_0,0.5872038288288287,0.2817015765765767,0.0,0.0,0.7185136363636371
35_0_0_0_17_0,0.5872038288288287,0.2817015765765767,1.3402452817224004,0.2131513284470911,1.3036840909090914
35_0_0_0_19_8,0.5872038288288287,0.2817015765765767,2.5074324324324317,1.1122094594594607,2.069320454545455
35_0_0_0_21_0,0.5872038288288287,0.2817015765765767,0.599618243243242,0.8082297297297321,1.1475477272727286
35_0_0_0_24_12,0.5872038288288287,0.2817015765765767,3.251790540540541,1.0307500000000003,2.180917045454545
35_10_27_23_26_30,2.636114864864865,1.0419493243243245,4.0112195945945945,1.7437263513513521,7.460894318181821
35_14_0_0_6_35,1.5279628378378374,0.5105709459459469,2.4332736486486493,0.6472027027027023,3.955559090909091
35_14_24_0_7_0,2.010798423423423,0.9919988738738743,1.841902027027026,0.1646351351351369,5.771189772727273
35_15_0_0_2_20,0.9317985684837375,0.3239780233623461,3.9262263513513513,-0.17790540540540517,2.6787636363636365
35_19_0_0_0_0,0.9927466216216215,0.4014290540540544,0.0,0.0,1.6143204545454548
35_1_12_0_0_0,1.9712826576576576,0.7515078828828834,0.0,0.0,3.935064772727273
35_21_21_0_30_35,1.658627252252252,0.44452139639639654,2.969415540540541,0.6401858108108112,3.828746590909091
35_21_23_13_0_0,2.4120135135135135,0.7628513513513511,0.0,0.0,3.393564772727273
35_22_0_0_20_9,1.465367117117117,0.3592274774774777,3.983337837837837,-0.3115033783783767,3.8980420454545452
35_22_0_0_3_0,1.465367117117117,0.3592274774774777,1.8105270270270264,0.1764729729729741,3.3612
35_23_9_0_0_0,1.81264527027027,0.7110472972972977,0.0,0.0,3.594604545454545
