instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset,temp-little,temp-big,ambient
IN_3-BB-SM,BB-sm,300.0,20,964,2.8374994226104144,4.3573681298395925,2.965946681472736,8.463858393758949,2.973858393758949,59.688,61.328,25.39726111111111
IN_3-HEUR,HEUR,3338.0,20,971,3.1972580736845124,4.904155106892866,2.9504309702592595,8.491116518036412,3.001116518036412,57.916,59.404,23.69466111111111
IN_3-ILP-IDLE-MAX,ILP-IDLE-MAX,4897.0,20,980,3.725039098518236,3.4201488014286663,3.2804210798813926,9.179991393960668,3.689991393960668,60.368,63.152,23.480349999999998
IN_3-ILP-IDLE-MIN,ILP-IDLE-MIN,869.0,20,980,3.210070818860312,4.889571439576024,2.942766413716094,8.43913276716587,2.949132767165869,57.616,59.092,23.515499999999996
IN_3-ILP-SM-I,ILP-SM-I,8717.0,20,968,2.677105221045869,3.705150110780146,2.85423872474434,8.214413915436051,2.7244139154360507,56.688,58.046,23.555822222222222
IN_3-ILP-SM-II,ILP-SM-II,4072.0,20,968,2.677105221045869,3.705150110780147,2.85423872474434,8.18071034555622,2.69071034555622,56.596,57.946,23.583711111111107
IN_3-QP-LR-UB,QP-LR-UB,199135.0,20,956,3.274731378166043,3.163172187362149,2.998831361680299,8.602594013307124,3.112594013307124,58.412,60.24,23.61074444444445
IN_4-BB-LR,BB-lr,300.0,20,864,3.374643088741736,4.151426190010664,3.165740817806557,8.66814434936797,3.17814434936797,59.064,60.572,23.899888888888885
IN_4-BB-SM,BB-sm,300.0,20,850,2.919270773299716,5.234452992413081,3.2342310608560743,8.508617790253966,3.018617790253966,59.364,61.108,25.380527777777782
IN_4-HEUR,HEUR,3246.0,20,880,3.394986512901431,5.90409904778772,3.249090155887278,8.745611500126312,3.255611500126312,58.6,60.06,23.66441111111111
IN_4-ILP-IDLE-MAX,ILP-IDLE-MAX,19851.0,20,880,4.0116043882952495,3.7759611082905375,3.594429303027766,9.452646396952506,3.962646396952506,61.708,64.364,23.64177777777778
IN_4-ILP-IDLE-MIN,ILP-IDLE-MIN,949.0,20,880,3.604437514377589,5.596893593461361,3.382143878067325,8.864766646662229,3.374766646662229,59.228,60.828,23.676627777777774
