instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset,temp-little,temp-big,ambient
IN_2-ILP-SM-II,ILP-SM-II,3451.0,20,659,2.981531177083058,3.948642091575114,2.9367166828597995,5.847557039510295,3.2475570395102946,57.77,57.77,25.0
IN_2-QP-LR-UB,QP-LR-UB,10643.0,20,665,3.174277911546515,3.100357404254612,2.968190154167301,5.949992479108635,3.349992479108636,57.7,57.7,25.0
IN_3-BB-LR,BB-lr,300.0,20,609,3.193374212278474,4.346675682708105,3.2009386026964703,6.0340834956860565,3.4340834956860564,58.07,58.07,25.0
IN_3-BB-SM,BB-sm,300.0,20,620,3.0762332450237966,3.380559791807989,3.0558469754449247,5.962279309384572,3.362279309384572,58.02,58.02,25.0
IN_3-HEUR,HEUR,1841.0,20,611,3.0049370013417738,3.823712650295716,3.028452078834814,5.854011689396048,3.254011689396048,57.36,57.36,25.0
IN_3-ILP-IDLE-MAX,ILP-IDLE-MAX,553.0,20,620,4.223171314500993,4.998810008208886,4.303686762503806,6.967782911216253,4.367782911216253,61.27,61.27,25.0
IN_3-ILP-IDLE-MIN,ILP-IDLE-MIN,121.0,20,620,3.9007379099005655,5.66543109230779,3.909828259784104,6.814910634743876,4.214910634743875,60.86,60.86,25.0
IN_3-ILP-SM-I,ILP-SM-I,3837.0,20,618,2.9937982739460085,3.820589336191464,3.028452078834814,5.834663327768503,3.234663327768503,55.69,55.69,25.0
IN_3-ILP-SM-II,ILP-SM-II,1926.0,20,618,2.9937982739460085,3.8942228180767255,3.028452078834813,5.866335467706014,3.2663354677060137,56.7,56.7,25.0
IN_3-QP-LR-UB,QP-LR-UB,18260.0,20,611,3.100598111508354,3.277126642252669,3.0558469754449247,5.882754312743461,3.2827543127434606,55.59,55.59,25.0
IN_4-BB-LR,BB-lr,300.0,20,608,3.706065536327049,4.636801097730278,3.657130072217076,6.517228221541887,3.917228221541887,58.24,58.24,25.0
IN_4-BB-SM,BB-sm,300.0,20,608,3.6850242931823263,4.512580886158756,3.657130072217075,6.4805491232952965,3.880549123295296,58.14,58.14,25.0
IN_4-HEUR,HEUR,2354.0,20,610,3.773245319333233,6.212243943152491,3.778731931688269,6.601342610631784,4.001342610631784,58.9,58.9,25.0
IN_4-ILP-IDLE-MAX,ILP-IDLE-MAX,938.0,20,610,4.681333148919168,5.170267677120186,4.743820629398796,7.421840845854202,4.821840845854203,61.27,61.27,25.0
IN_4-ILP-IDLE-MIN,ILP-IDLE-MIN,226.0,20,610,3.979567215139749,5.849660095409713,4.059022401646215,6.880212079042583,4.280212079042583,59.81,59.81,25.0
IN_4-ILP-SM-I,ILP-SM-I,2315.0,20,607,3.578672296443924,4.425531169325982,3.549500762090737,6.384848425745333,3.784848425745333,57.79,57.79,25.0
IN_4-ILP-SM-II,ILP-SM-II,1508.0,20,607,3.578672296443924,4.425531169325982,3.549500762090737,6.371754102920724,3.771754102920724,57.74,57.74,25.0
IN_4-QP-LR-UB,QP-LR-UB,30354.0,20,578,3.633034980736795,3.948574051643752,3.579160374411849,6.423779665738161,3.823779665738161,57.84,57.84,25.0
IN_5-BB-LR,BB-lr,300.0,20,677,3.7894955139075006,5.184278569882551,3.3464199866622,6.3122174881648565,3.712217488164856,56.97,56.97,25.0
IN_5-BB-SM,BB-sm,300.0,20,641,3.4704840454884938,4.117243863137504,3.43402668394418,6.340119677150014,3.740119677150014,57.74,57.74,25.0
IN_5-HEUR,HEUR,1934.0,20,700,3.464587370795863,4.692275059564795,3.2585084138059663,6.299277917014759,3.699277917014759,57.84,57.84,25.0
IN_5-ILP-IDLE-MAX,ILP-IDLE-MAX,624.0,20,700,4.3168621551564765,5.041168202729355,4.248399000676965,7.08708850542722,4.48708850542722,60.74,60.74,25.0
IN_5-ILP-IDLE-MIN,ILP-IDLE-MIN,129.0,20,700,3.7955268598454337,4.94882116465777,3.564582169353446,6.624543708240535,4.024543708240534,59.66,59.66,25.0
IN_5-ILP-SM-I,ILP-SM-I,791.0,20,697,3.219655659709658,3.652822885729856,3.1947745043476696,6.036346036161335,3.436346036161335,57.14,57.14,25.0
IN_5-ILP-SM-II,ILP-SM-II,1132.0,20,697,3.219655659709658,3.652822885729856,3.194774504347669,6.099134187082406,3.4991341870824058,57.59,57.59,25.0
IN_5-QP-LR-UB,QP-LR-UB,17401.0,20,698,3.433204885806356,3.513412459933969,3.2344390937438727,6.210596549805231,3.6105965498052313,58.11,58.11,25.0
IN_6-BB-LR,BB-lr,300.0,20,619,3.106312814114556,3.785905823697807,2.934453655385341,5.862088530066815,3.262088530066815,56.92,56.92,25.0
IN_6-BB-SM,BB-sm,300.0,20,552,3.0702294942111736,3.725387237320245,3.009630559195001,5.887475938803894,3.2874759388038943,56.23,56.23,25.0
IN_6-HEUR,HEUR,1747.0,20,576,3.054096021575313,3.3680839723905454,2.944278358423512,5.712467427616926,3.112467427616926,54.59,54.59,25.0
IN_6-ILP-IDLE-MAX,ILP-IDLE-MAX,1517.0,20,620,3.798915272422376,4.43740349132058,3.8691403492551606,6.4805890868596885,3.880589086859688,57.120000000000005,57.120000000000005,25.0
IN_6-ILP-IDLE-MIN,ILP-IDLE-MIN,255.0,20,620,3.808244173324877,4.751194256708402,3.528069695809167,6.483277638540796,3.883277638540796,57.1,57.1,25.0
IN_6-ILP-SM-I,ILP-SM-I,7803.0,20,583,2.968823709771518,3.2828229678833627,2.944278358423513,5.630780284043442,3.0307802840434417,53.55,53.55,25.0
IN_6-ILP-SM-II,ILP-SM-II,2092.0,20,583,2.968823709771518,3.2828229678833627,2.944278358423513,5.635361737677528,3.0353617376775275,53.84,53.84,25.0
IN_6-QP-LR-UB,QP-LR-UB,33937.0,20,585,3.0490759123957925,3.1232493272804334,2.985731199719065,5.726627887559142,3.1266278875591422,53.85,53.85,25.0
