instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,imx8b_power
inst_0367,RandomGenerator,0,2,1000,0.63536,0.8703800000000002,0.5056907800000001,5.7037704690466855
inst_0210,RandomGenerator,0,3,1000,2.13998,2.48642,0.5730839000000001,5.535797549116402
inst_0912,RandomGenerator,0,4,1000,2.1142600000000003,3.4519100000000007,1.24064008,6.214381343229011
inst_0557,RandomGenerator,0,3,1000,2.3250300000000004,2.80551,0.83707518,5.742665101614687
inst_0880,RandomGenerator,0,4,1000,2.45127,3.5159400000000005,1.36171161,6.178320939694921
inst_0845,RandomGenerator,0,4,1000,4.30717,4.59481,2.15272043,6.320194698300697
inst_0854,RandomGenerator,0,5,1000,3.32475,3.42211,2.04702904,6.231445103760445
inst_0655,RandomGenerator,0,4,1000,1.7754100000000002,2.36607,1.2048300200000002,6.421426589230622
inst_0712,RandomGenerator,0,4,1000,2.51325,3.73169,1.5370332399999995,6.451608870825759
inst_0795,RandomGenerator,0,3,1000,3.46657,2.60854,2.29393375,6.905560423661739
inst_0011,RandomGenerator,0,3,1000,1.36144,1.89656,0.7705933300000001,6.014608066061395
inst_0754,RandomGenerator,0,2,1000,1.45177,1.80715,0.17860639,5.471558495449632
inst_0052,RandomGenerator,0,1,1000,3.17558,2.13821,0.89163357,5.824883502327043
inst_0486,RandomGenerator,0,2,1000,0.97268,1.3195,0.8316339599999999,5.854630550989772
inst_0898,RandomGenerator,0,2,1000,3.52768,2.33314,1.78005853,5.7931482789519775
inst_0230,RandomGenerator,0,4,1000,2.81613,2.50159,1.7638415700000003,5.9064335526198555
inst_0821,RandomGenerator,0,2,1000,2.83471,2.73692,0.62402764,5.769088943185723
inst_0812,RandomGenerator,0,2,1000,3.39904,2.24571,1.75386396,6.435597775140566
inst_0715,RandomGenerator,0,2,1000,1.4917,1.34657,0.79123168,5.626820335249999
inst_0636,RandomGenerator,0,5,1000,3.19039,3.53615,2.1816821,6.487621642908715
inst_0150,RandomGenerator,0,2,1000,1.99592,1.72037,0.84094704,5.821206340960592
inst_0378,RandomGenerator,0,5,1000,4.59801,5.22653,2.9135507800000005,6.5644015339846735
